!专	∎
!丘	∎
!之	∎
!乌0	∎
!乐.	∎
!乐w	∎
!亞0	∎
!亞1	∎
!北.	⿰⿱一㇀丨
!北H	⿱┤㇀
!卍	∎
!卐	∎
!卬	∎
!叚	∎
!戉	∎
!斲2	∎
!斲3	∎
!毌	∎
!母	∎
!烏0	∎
!皮	∎
!睂	∎
!臼	∎
!辶.	∎
!辶H	∎
!雋	∎
!馬	∎
!黽	{1:}⿻⿺乚丨!黽0
!黽0	∎
!黽1	∎
!龍	∎
!龜0	∎
!𠀀.	∎
!𠀀T	∎
!𠀟	∎
!𠁁0	∎
!𠁁1	∎
!𠁾	∎
!𠂂	∎
!𠂔.	∎
!𠂔h	∎
!𠃛	∎
!𠌆	∎
!𠥓	∎
!𠦁	∎
!𠬝	∎
!𢩺	∎
!𪛗	∎
㝗	⿱宀良
㝘	⿱宀言
㝙	⿳宀干⿱二八
㝚	⿱宀延
㝛	⿱宀𠈇
㝜	⿱宀昔
㝝	⿱丶冧
㝞	⿱宀亞
㝟	⿳宀一見
㝠	⿳宀日六
㝡	⿱丶冣
㝢	⿱宀禹
㝣	⿱宀契
㝤	⿱宀冓
㝥	⿱宀⿰爿米
㝦	⿱宀隽
㝧	⿱安坐
㝨	⿱宀袁
㝩	⿱宀康
㝪	⿱宀執
㝫	⿱宀隆
㝬	⿰害夫
㝭	⿱宀惺
㝮	⿱宀𠭥
㝯	⿱宀喬
㝰	⿱宀臱
㝱	⿱宀⿰爿夢
㝲	⿱宀⿰爿⿳𦭝冖帚
㝳	⿸朩丶
㝴	⿺元寸
㝵	⿱旦寸
㝶	⿳罒儿寸
㝷	⿳彐巩寸
㝸	⿱小皃
㝹	⿱少免[T] ⿱少兔[.]
㝺	⿰⿱⿰丿丿⿻卄⿱⿻コ一八少
㝼	⿺尢于
㝽	⿺尢水
㝾	⿺尢左
㝿	⿺尢皮
㞀	⿺尢灰
㞁	⿺尢㫐
㞂	⿺尢妥
㞃	⿰谷尤
㞄	⿺尢奄
㞅	⿺尢果
㞆	⿺尢奇
㞈	⿺尢扁
㞉	⿺尢差
㞊	⿰祟尢[.] ⿰祟尤[T]
㞋	⿸尸又
㞌	⿸尸子
㞍	⿸尸丸
㞎	⿸尸巴
㞏	⿸尸乏
㞐	⿸尸立
㞑	⿸尸⿰二⿺乚二[T] ⿸尸⿺𠖬⿱丿丶[.]
㞒	⿸尸自
㞓	⿸尸旨
㞔	⿸尸多
㞕	⿸尸⿱八月[T] ⿸尸䏌[.]
㞖	⿸尸朿
㞗	⿸尸求
㞘	⿸尸豖
㞙	⿸尾水
㞚	⿸尸臿
㞛	⿸尸⿰彳旨
㞜	⿸尸㣦
㞝	⿱戚尸
㞞	⿸尸從
㞟	⿸尸奠
㞠	⿸尸尞
㞡	⿸尸⿱㠭𧘇
㞢	⿱屮一
㞣	⿱屮分
㞤	⿱山人
㞥	⿱山入
㞦	⿰山几
㞧	⿱山乃
㞨	⿰山子
㞩	⿱山凡
㞪	⿱⿴ユ一山
㞫	⿱山之
㞬	⿱山工
㞭	⿱大山
㞮	⿱山𠚤
㞯	⿱己山
㞰	⿰山午
㞱	⿱山日
㞲	⿰山中
㞳	⿰山斗
㞴	⿰山氏
㞵	⿱山文
㞶	⿰山文
㞷	⿱屮王[.,T] ⿱山王[J]
㞸	⿱山不
㞹	⿰山可
㞺	⿱山矢
㞻	⿱山号
㞼	⿱氶山
㞽	⿰山戉
㞾	⿰山尼
㞿	⿳山土乂
㟀	⿱禾山
㟁	⿰山厈
㟂	⿰山母
㟃	⿰山司
㟄	⿰山羊
㟅	⿰山兇
㟆	⿰山华
㟇	⿰山坐
㟈	⿰山求
