!专	∎
!丘	∎
!之	∎
!乌0	∎
!乐.	∎
!乐w	∎
!亞0	∎
!亞1	∎
!北.	⿰⿱一㇀丨
!北H	⿱┤㇀
!卍	∎
!卐	∎
!卬	∎
!叚	∎
!戉	∎
!斲2	∎
!斲3	∎
!毌	∎
!母	∎
!烏0	∎
!皮	∎
!睂	∎
!臼	∎
!辶.	∎
!辶H	∎
!雋	∎
!馬	∎
!黽	{1:}⿻⿺乚丨!黽0
!黽0	∎
!黽1	∎
!龍	∎
!龜0	∎
!𠀀.	∎
!𠀀T	∎
!𠀟	∎
!𠁁0	∎
!𠁁1	∎
!𠁾	∎
!𠂂	∎
!𠂔.	∎
!𠂔h	∎
!𠃛	∎
!𠌆	∎
!𠥓	∎
!𠦁	∎
!𠬝	∎
!𢩺	∎
!𪛗	∎
㟉	⿰山牢
㟊	⿰山孚
㟋	⿰山兌[T] ⿰山兑[.]
㟌	⿰山尨
㟍	⿰山良
㟎	⿰山妥
㟏	⿰山含
㟐	⿰山芒
㟑	⿰山孛
㟒	⿱山君
㟓	⿰山希
㟔	⿱山含
㟕	⿱山呌
㟖	⿱山弄
㟘	⿰山周
㟙	⿰山昔
㟚	⿱枝山
㟛	⿱山拑
㟜	⿱山弥
㟝	⿰山咅
㟞	⿰山戔
㟟	⿱山巷[.] ⿳山共㔾[T]
㟠	⿰山岡
㟢	⿱山奇
㟣	⿰山松
㟥	⿱山参
㟦	⿱山軍
㟧	⿱山咢
㟨	⿰山耑
㟩	⿱敃山
㟪	⿰山畏
㟫	⿰山泉
㟬	⿱山叟
㟭	⿰山昬
㟮	⿰山突
㟯	⿱山客
㟰	⿰山冥
㟱	⿰山羔
㟲	⿰山原
㟳	⿰山栗
㟴	⿰山鬼
㟵	⿱山罡
㟶	⿱山原
㟷	⿰山荅
㟸	⿰山皋
㟹	⿰山聊
㟺	⿱山婁
㟻	⿱斬山
㟼	⿱山敖
㟽	⿰山票
㟾	⿰山庸
㟿	⿰山莽
㠀	⿱鳥山
㠁	⿰山參
㠂	⿰山敖
㠃	⿰山啇
㠄	⿱山習
㠅	⿱山復
㠆	⿰山單
㠇	⿱山就
㠈	⿰山閏
㠉	⿰山童
㠊	⿰山虛[J,K] ⿰山虚[.]
㠋	⿱嵓亏
㠌	⿱山欺
㠍	⿱山集
㠎	⿰山集
㠏	⿰山華
㠐	⿱山喬
㠑	⿱山罪
㠒	⿰山剽
㠓	⿰山蒙
㠔	⿱山辟
㠕	⿱山隗
㠖	⿱山義
㠗	⿰山奧[J,T] ⿰山奥[.]
㠘	⿱山與
㠙	⿰山豪
㠛	⿰山⿱卝隻[T] ⿰山蒦[.]
㠜	⿰山疑
㠝	⿰山賛
㠞	⿱徵山
㠟	⿰山黎
㠠	⿰山盧
㠡	⿰山褭
㠢	⿱嵬衣
㠣	⿰山歷
㠤	⿰山襄
㠥	⿰山壘
㠦	⿰山豐
㠧	⿰山靡
㠨	⿱山欝
㠪	⿱一上
㠫	⿱巩夫
㠬	⿱⿰工口夫
㠭	⿰⿱工工⿱工工
㠮	⿰普工
㠯	∎
㠰	⿱加己
㠱	⿱己其
㠲	⿰巾匕
㠳	⿱入巾
㠴	⿰巾刃
㠵	⿱亡巾
㠶	⿰巾凢
㠷	⿰巾及
㠸	⿰巾夫
㠹	⿰巾介
㠺	⿰巾少
㠻	⿱十布
㠼	⿰巾斤
㠽	⿰巾冬
㠾	⿱夗巾
㠿	⿱此巾
㡀	⿻丨⿱丷⿵冂八[.] ⿻丨⿱八⿵冂八[J]
㡁	⿰巾夸
㡂	⿱列巾
㡄	⿰巾旬
㡅	⿰巾多
㡆	⿰巾巟
㡇	⿸⿰巾耳乚
㡈	⿰巾免
㡉	⿰巾弦
㡊	⿰巾臽
㡋	⿰巾奄
㡌	⿰巾⿱日冃[T] ⿰巾冐[.]
㡍	⿱白𫯜
㡎	⿰巾参
㡏	⿰巾俞[.,T] ⿰巾兪[K]
㡐	⿰巾前
㡑	⿱秋巾
㡒	⿰巾盾
㡓	⿰巾軍
㡔	⿱敄巾
㡕	⿰巾英
㡖	⿰巾重
㡗	⿰巾虒
㡘	⿰巾兼
㡙	⿰巾𣬉
㡚	⿰巾冓
㡛	⿰巾⿱𦬆𫶧
㡜	⿰巾祭
㡝	⿰巾逢
㡞	⿰巾婁
㡟	⿰巾曹
㡠	⿰巾登
㡢	⿰巾⿳⺜罒万[T] ⿰巾⿳⺜罒方[J] ⿰巾㬅[.]
㡣	⿰帝⿷⿺!龍一三
㡤	⿰巾業
㡥	⿰巾㥯
㡦	⿰巾⿳㝉⿰丿亅⿱丿貝[K] ⿰巾賓[.]
㡧	⿰巾䆸
㡨	⿰巾韱
㡩	⿱䜌巾
㡪	⿰巾⿱爫⿸尸⿱⿲止〢巳夂[.] ⿰巾𤔿[T]
㡫	⿰幺曷
㡬	⿹⿻㇂⿱⿰幺⿱幺丶丆勹
㡭	⿺𠃊⿱𢆶𫠩
㡮	⿰幾气
㡯	⿸广乇
㡰	⿸广于
㡱	⿸广久
㡲	⿸广戈
㡳	⿸广氏
㡴	⿸广立
㡵	⿸广令
㡶	⿸广只
㡷	⿸广本
㡸	⿸广乍
㡹	⿸广且
㡺	⿸广旦
㡻	⿸广卯
㡼	⿸广曳[.] ⿸广曵[T]
㡽	⿸广聿
㡾	⿸广艮
㡿	⿸广屰
㢀	⿸广朿
㢁	⿸广多
㢂	⿸广𠂤
㢃	⿸广良
㢄	⿸广豆
㢅	⿸广弄
㢆	⿸广里
㢇	⿸广言
㢈	⿸广隹
㢉	⿸广秅
㢊	⿸广奇
㢋	⿸广侈
㢌	⿸广阿
㢍	⿸广英
㢎	⿸广臿
㢏	⿸广俞[.,T] ⿸广兪[K]
㢐	⿸广咼
㢑	⿸广隼
㢒	⿸广虘
㢓	⿸广章
㢔	⿸广從
㢕	⿸广⿰{⿸}⿱{⿸}⿱𡿨𠃋丿隹[J] ⿸广⿰乡隹[.]
㢖	⿸广番
㢗	⿸广喬
㢘	⿸广𠔥
㢚	⿸广虜
㢜	⿸广⿱廿思
㢝	⿸广穌
㢞	⿸广翼
㢟	⿺廴⿺𠃊⺊[.] ⿺廴止[T]
㢠	⿺廴冋
㢡	⿱將廾
㢢	⿱敞廾
㢣	⿱敬廾
㢤	⿹⿶弋十勹
㢥	⿰同弋
㢦	⿰哥弋
㢧	⿹弓一
㢨	⿰弓干
㢩	⿰弓勺
㢪	⿰弓亏
㢫	⿰弓山
㢬	⿰弓厷
㢭	⿰弓攴
㢮	⿰弓㐌
㢯	⿰弓民
㢰	⿰弓皮
㢱	⿰弓厼
㢲	⿳弜一八
㢳	⿰弓⿱𠂉⿸!卬⿺乀丿
㢴	⿹弓⿴囗⿻⿰丿丿丶
㢵	⿰弓合
㢶	⿰弓百
㢷	⿰弓岁
㢸	⿰弓𢎿
㢹	⿰弓辛
㢺	⿰弓妾
㢻	⿰弓委
㢼	⿰弓㡀
㢽	⿰弭弓
㢾	⿰弓垔
㢿	⿰弓侯
㣀	⿰弓眞[J] ⿰弓真[.]
㣂	⿰弓鬲
㣃	⿲弓育弓
㣄	⿰弓渠
㣅	⿰弓朁
㣆	⿰弓⿱爾王
㣇	⿳彑丿币
㣈	⿰㣇㣇
㣉	⿰工彡
㣊	⿱攵彡
㣋	⿰丼彡
㣌	⿰占彡
㣍	⿰台彡
㣎	⿳丿𣌢彡
㣏	⿰⿱大早彡
㣑	⿰庸彡
㣒	⿰曾彡
㣔	⿰彳丁
㣕	⿰彳大
㣖	⿰彳太
㣗	⿰彳戶
㣘	⿰彳句
㣙	⿰彳由
㣚	⿰彳同
㣛	⿰彳合
㣜	⿰彳刑
㣝	⿰彳戎
㣞	⿰彳兊
㣟	⿰彳吉
㣠	⿲彳丨冬
㣡	⿰彳仲
㣢	⿰彳弟
㣣	⿰彳㚒
㣤	⿰彳戔
㣥	⿰彳侍
㣦	⿰彳委
㣧	⿲彳⿱幺冃乚
㣨	⿰彳姑
㣩	⿰彳林
㣪	⿰彳爰
㣫	⿰彳重
㣬	⿰彳咠
㣭	⿰彳㚇
㣮	⿰彳南
㣯	⿰彳屑
㣰	⿰彳悉
㣱	⿰彳責
㣲	⿲彳⿱山𠮛攵
㣳	⿰彳無
㣴	⿰彳黃
㣵	⿰彳達
㣶	⿰彳亶
㣷	⿰彳寧
㣸	⿰彳㽔
㣺	⿰小丶[T] ⿰忄丶[H]
㣻	⿱㐅心[T] ⿱乂心[.]
㣼	⿰忄刃
㣽	⿱女心
㣾	⿰忄叉
㣿	⿰忄勺
㤁	⿱天心
㤂	⿱及心
㤃	⿰忄方
㤄	⿰忄巿
㤅	⿱旡心
㤆	⿰忄反
㤇	⿰忄夭
㤈	⿰忄心
㤉	⿰忄牙
㤊	⿰忄爻
㤋	⿰忄分
㤌	⿰忄甘
㤍	⿱巧心
㤎	⿱加心
㤏	⿰忄冬
㤐	⿱⺊𢗀
㤑	⿰忄右
㤒	⿰忄夲
㤓	⿰忄本
㤔	⿰忄付
㤕	⿰忄出
㤖	⿰忄宁
㤗	⿱𡗗㣺
㤘	⿰忄刍
㤙	⿱囙心
㤚	⿰忄行
㤛	⿰忄任
㤜	⿰忄戍
㤝	⿰忄充
㤞	⿰忄宅
㤟	⿱曲心
㤠	⿱列心
㤡	⿰忄列
㤢	⿰忄有
㤣	⿱并心
㤤	⿰忄⿻丿⿱日乀
㤥	⿰忄亥
㤦	⿰忄吏
㤧	⿰忄后
㤨	⿰忄共
㤩	⿱夂𢗀
㤪	⿱一怨
㤫	⿱有心
㤬	⿰忄圭
㤭	⿰忄乔
㤮	⿱狂心
㤯	⿰忄冏
㤰	⿱作心
㤱	⿰忄豆
㤳	⿰忄否
㤴	⿸⿰忄耳乚
㤵	⿱孜心
㤶	⿰忄尨
㤷	⿰忄含
㤸	⿰忄赤
㤹	⿰忄求
㤺	⿰忄㐬
㤻	⿱卵心
㤼	⿰忄劫
㤽	⿰忄寿
㤿	⿰忄奄
㥀	⿰忄直
㥁	⿳十⿺𠃊罒心
㥂	⿰忄㝵
㥃	⿰忄門
㥄	⿰忄夌
㥅	⿰忄受
㥆	⿰忄隶
㥇	⿰忄戔
㥈	⿱帖心
㥉	⿰忄咅
㥊	⿰忄朋
㥋	⿱依心
㥌	⿰忄匊
㥍	⿰忄其
㥎	⿱𥝢心
㥏	⿰忄典
㥐	⿱命心
㥑	⿳丆⺜⿱冖心
㥒	⿰忄采
㥓	⿰忄奇
㥔	⿰忄育
㥕	⿱炎心
㥖	⿰丹忩
㥗	⿰忄旻
㥘	⿰忄刼
㥙	⿰忄忠
㥚	⿰忄臾
㥛	⿰忄亟
㥜	⿰忄胃
㥝	⿰忄弭
㥞	⿰忄㒸
㥟	⿰忄彖
㥠	⿰忄胥
㥡	⿰忄𣐉
㥢	⿰忄酋
㥣	⿱大恚
㥤	⿱矜心
㥥	⿰忄禺
㥧	⿰忄頁
㥨	⿱娃心
㥩	⿰忄者
㥪	⿰忄娄
㥫	⿰忄亯
㥬	⿰忄旁
㥭	⿰忄泰
㥮	⿰忄芻
㥯	⿱𤔌心
㥰	⿰忄叟
㥱	⿰忄匪
㥲	⿱眞心[J] ⿱真心[.]
㥳	⿰忄原
㥴	⿰忄虒
㥵	⿰忄圂
㥶	⿱𡨄心
㥸	⿰民思
㥹	⿱粉心
㥺	⿰忄盍
㥻	⿱⿵戊⿱丿朩心
㥼	⿰忄焉
㥽	⿰忄責
㥾	⿰忄匿
㥿	⿱敖心
㦀	⿰忄逢
㦁	⿱連心
㦂	⿱常心
㦃	⿰忄産[.,V] ⿰忄產[T]
㦄	⿸麻心
㦅	⿰忄帶
㦆	⿰忄虖
㦇	⿰忄鹿
㦈	⿰忄盖
㦉	⿰忄壹
㦊	⿰忄華
㦋	⿰忄奢
㦌	⿱毳心
㦍	⿰忄⿳吅䒑屮[T] ⿰忄㖾[.]
㦎	⿰忄畫
㦏	⿰忄巽
㦐	⿰忄貳
㦑	⿰忄敢
㦒	⿰忄詈
㦓	⿰忄然
㦔	⿱猒心
㦕	⿰忄隆
㦖	⿰忄悶
㦗	⿰忄禁
㦘	⿱敫心
㦙	⿰忄愚
㦚	⿲辛心辛
㦜	⿰忄⿱卝隻[T] ⿰忄蒦[.]
㦝	⿱貌心
㦞	⿱壽心
㦟	⿱貍心
㦡	⿰忄樂
㦢	⿰忄⿱𥫗卽[K] ⿰忄節[.]
㦣	⿱衛心
㦥	⿰忄憲[.,T] ⿰忄⿳宀丯⿱罒心[J]
㦦	⿰忄䦧
㦧	⿰忄㬱
㦩	⿰忄隱
㦪	⿰忄燮
㦫	⿰忄贊
㦬	⿰忄羅
㦭	⿰忄靈
㦮	⿺⿻㇂⿱二丆丶
㦯	⿹戈⿱厶㇀
㦰	⿶戈从
㦱	⿹⿶戈一土
㦲	⿹𢦏勹
㦴	⿹戈各
㦶	⿹戈至
㦷	⿰甬戈
㦸	⿰卓戈
㦹	⿰昜戈
㦺	⿰辱戈
㦻	⿰習戈
㦽	⿰有𡿿
㦾	⿸戶也[J,T] ⿸户也[.]
㦿	⿸戶木[T] ⿸户木[.]
㧀	⿸戶及[T] ⿸户及[.]
㧁	⿸戶去[T] ⿸户去[.]
㧂	⿸戶田[T] ⿸户田[.]
㧃	⿰扌丩
㧄	⿰扌凵
㧅	⿰扌刀
㧆	⿰扌巾
㧇	⿰扌𠔼
㧈	⿰扌弓
㧉	⿰扌气
㧊	⿰扌巿[.] ⿰扌市[K]
㧋	⿰扌犬
㧌	⿰扌毛
㧍	⿰扌方
㧎	⿰扌牙
㧏	⿰扌冈
㧐	⿰扌双
㧑	⿰扌为
㧒	⿰扌穴
㧓	⿰扌瓜
㧔	⿰扌戊
㧕	⿰扌卯
㧖	⿰扌戹
㧗	⿰扌此
㧘	⿱此手
㧙	⿰扌必
㧚	⿰扌瓦
㧛	⿱⿰〢⿱𠂉丶手
㧜	⿰扌匝
㧝	⿱加手
㧞	⿰扌⿸千乂[J] ⿰扌叐[T]
㧟	⿰扌汇
㧠	⿰扌厼
㧡	⿰扌亥
㧢	⿰扌因
㧣	⿰扌朱
㧤	⿰扌充
㧥	⿰扌先
㧦	⿰扌旬
㧧	⿰扌㐬
㧨	⿰扌后
㧩	⿰扌𫥞
㧪	⿰扌危
㧫	⿰扌而
㧬	⿱巩手[.,T] ⿱⿰工⿹⺄⿻丨丶手[J]
㧭	⿱邛手
㧮	⿰扌臼
㧯	⿰扌老
㧰	⿰扌乐
㧱	⿰合手
㧲	⿰扌宋
㧳	⿱扮手
㧴	⿰扌我
㧵	⿰扌否
㧶	⿰扌身
㧷	⿰扌吞[T] ⿰扌呑[.]
㧸	⿰扌亨
㧹	⿰扌㝵
㧺	⿰扌沓
㧻	⿰扌豖
㧼	⿰扌表
㧽	⿰扌固
㧾	⿰扌忽
㧿	⿰扌⿱从龰
㨀	⿰扌秉
㨁	⿰扌直
㨂	⿰扌東
㨃	⿰扌享
㨄	⿰扌周
㨅	⿰扌芮
㨆	⿰扌林
㨇	⿱波手
㨈	⿰扌斉
㨉	⿰扌昬
㨊	⿰扌⿱左⺼[T] ⿰扌⿱左冃[.]
㨋	⿰扌者
㨌	⿰⿳士冖手殳
㨍	⿱封手
㨎	⿰扌耎
㨏	⿰扌炭
㨐	⿰扌保
㨑	⿰扌㚇
㨒	⿰扌奎
㨓	⿰扌窂
㨔	⿰扌咸
㨕	⿰扌盈
㨖	⿰扌致
㨗	⿰扌⿳⺊⿻コ一龰[H] ⿰扌⿳⺊彐龰[.]
㨘	⿰扌省
㨙	⿰扌奚
㨚	⿰扌荀
㨛	⿰扌閃
㨜	⿰扌虔
㨝	⿰扌屑
㨞	⿰扌素
㨟	⿰扌豈
㨠	⿰扌冥
㨡	⿰扌圂
㨢	⿰扌能
㨣	⿰扌翁
㨤	⿰扌龨
㨥	⿰扌納
㨦	⿰扌隻
㨧	⿰扌畚
㨨	⿰扌留
㨩	⿰扌庭
㨪	⿰扌晃
㨫	⿰扌监
㨬	⿰扌袁
㨭	⿰扌扈
㨮	⿰扌兜
㨰	⿰扌袞
㨱	⿰扌䚻
㨲	⿰扌𦯕
㨳	⿰扌寄
㨴	⿰扌乾
㨵	⿰扌剪
㨶	⿰扌鳥
㨷	⿰扌堇
㨸	⿰扌密
㨹	⿰扌彗
㨺	⿰扌㒼
㨻	⿱斬手
㨼	⿱略手
㨽	⿰扌副
㨾	⿰扌羕
㨿	⿰扌處
㩀	⿰扌⿸虍匆
㩁	⿰扌寉
㩃	⿰扌寒
㩄	⿰扌崽
㩆	⿰扌就
㩇	⿰扌畫
㩈	⿰扌窘
㩉	⿰扌翕
㩊	⿰扌𡬳
㩌	⿰扌費
㩍	⿰扌策
㩎	⿰扌猒
㩏	⿰扌黑
㩐	⿰扌等
㩑	⿰扌䨿
㩒	⿰扌禁
㩓	⿱毀手[T] ⿱毁手[.]
㩔	⿰扌殿
㩕	⿰扌零
㩖	⿰扌畺
㩗	⿰扌𡻎
㩘	⿰扌義
㩙	⿰扌塞
㩚	⿰扌蒙
㩛	⿰扌團
㩜	⿰扌監
㩝	⿰扌豪
㩞	⿰扌榮
㩟	⿰扌寨
㩠	⿰扌麃
㩡	⿰扌磊
㩢	⿰扌蔑
㩣	⿰扌翬
㩤	⿰扌敷
㩥	⿰扌韯
㩦	⿰扌⿱隹冏
㩧	⿰扌暴
㩨	⿰扌慧
㩩	⿰扌潁
㩪	⿰扌䋶
㩫	⿰扌質
㩭	⿰扌學
㩯	⿰扌繁
㩰	⿰扌⿱艹喿
㩱	⿰扌爵
㩲	⿰扌雚
㩳	⿰扌雙
㩴	⿰扌瞿
㩵	⿰扌獻
㩶	⿰扌籋
㩷	⿰扌騫
㩸	⿰扌⿳畾宀⿱⿵⿰丿𠃍丶一[.] ⿰扌疉[K]
㩹	⿰扌疊
㩺	⿰比支
㩻	⿰危支
㩼	⿰多支
㩿	⿰乞攵
㪀	⿰于攵
㪂	⿰气攴
㪃	⿰可攴
㪄	⿰弗攵
㪅	⿱丙攴
㪆	⿰氐攴
㪇	⿰先攵
㪈	⿰圭攴[.] ⿰圭攵[T]
㪉	⿰合攵
㪊	⿰君攴
㪋	⿰旱攴
㪌	⿰甬攴[.] ⿰甬攵[T]
㪏	⿰卑攴
㪒	⿰兒攴
㪓	⿰乖攴
㪔	⿰木𣏽[.] ⿰𣏟攴[K]
㪕	⿰卓攴
㪖	⿰彔攴[T] ⿰录攴[.]
㪗	⿰咅攴
㪘	⿰㑒攵
㪙	⿰果攵
㪚	⿰昔攵
㪛	⿰甚攴
㪜	⿰耑攴[.] ⿰耑攵[T]
㪟	⿰亯攵
㪡	⿰害攴
㪣	⿰高攵
㪤	⿰畢攵
㪦	⿰寅攵
㪨	⿰善攴
㪬	⿰翟攴[.,K] ⿰翟攵[T]
㪮	⿰霝攴
㪯	⿱文╪
㪰	⿱文米
㪱	⿰文奐
㪲	⿱斗𠃍
㪳	⿱斗〇
㪴	⿰元斗
㪶	⿰百斗
㪸	⿰其斗
㪹	⿰婁斗
㪺	⿰𥇛斗
㪻	⿱䜌斗
㪼	⿰可斤
㪽	⿱一昕
㪾	⿰各斤
㪿	⿰⿱⿻凵丿⿻凵丿斤
㫀	⿰昌斤
㫁	⿰⿺𠃊⿱𢆶兀斤
㫂	⿰庶斤
㫃	⿰方人
㫄	⿱二⿹勹方
㫅	⿰方⿱人亓
㫆	⿰方尒
㫇	⿱於𠃍
㫈	⿱於〇
㫉	⿰方危
㫊	⿰方⿱𠂉可
㫋	⿰方⿱𠂉冉
㫌	⿰方⿱𠂉正
㫍	⿰方⿱𠂉攸
㫎	⿰方⿱𠂉軍
㫏	⿰方⿱𠂉要
㫐	⿱日匕
㫑	⿰日力
㫒	⿱日廾
㫓	⿰日乞
㫔	⿱日上
㫕	⿱日兀
㫖	⿱⺊𣄼
㫗	⿱日子
㫘	⿱不日
㫙	⿰日夫
㫚	⿱勿曰
㫛	⿰日兄
㫜	⿰日旦
㫝	⿰日氐
㫞	⿰日𠬢
㫟	⿰日⿱儿口[T] ⿰日⿱几口[K] ⿰日⿱𠘧口[.]
㫠	⿰日半
㫡	⿱日冬
㫢	⿰日去
㫣	⿱日电
㫤	⿱日永
㫥	⿰日名
㫦	⿲亻丨⿱攵日[J] ⿲亻丨𣅈[.]
㫧	⿱日米
㫨	⿰日安
㫩	⿱十䒤
㫪	⿱𡗗旧
㫫	⿱日亚
㫬	⿰日旬
㫭	⿱日寺
㫮	⿱此日
㫯	⿱日㫕
㫰	⿰日良
㫱	⿱日赤
㫲	⿰日孛
㫳	⿱辰日[J] ⿸辰日[.]
㫴	⿰日孝
㫵	⿰日非
㫶	⿰日帚
㫷	⿱其日
㫸	⿰日疌
㫹	⿱日所
㫺	⿱𠈌日
㫻	⿰日侖
㫼	⿰日制
㫽	⿰日彔
㫾	⿰日尙[V] ⿰日尚[K]
㫿	⿰日隹
㬀	⿰日享
㬁	⿱日洽
㬂	⿰日禺
㬃	⿱日炱
㬄	⿱日𪠇
㬅	⿱日𬙙
㬆	⿰日昬
㬇	⿰日奐
㬈	⿰日昷[.] ⿰日𥁕[K]
㬉	⿰日耎
㬊	⿱日爰[.] ⿳日爫𡕟[J]
㬋	⿰日侯
㬌	⿱日亰
㬍	⿰日尃
㬎	⿱日𢇁
㬏	⿰日鬲
㬐	⿰日晉[T] ⿰日晋[.]
㬒	⿰日莽
㬓	⿰日票
㬔	⿰日翏
㬕	⿰日祥[.] ⿲日示羊[T]
㬖	⿰日啓
㬗	⿰日然
㬙	⿰日為[T] ⿰日爲[.]
㬚	⿲日育攵
㬛	⿰日翕
㬜	⿱臸日
㬝	⿰日曾
㬞	⿰日⿱山曷
㬟	⿰勿曾
㬠	⿰日煞
㬡	⿰日零
㬢	⿰日義
㬤	⿰日㬎
㬥	⿳𣅽大米
㬦	⿰日蒦[.,J] ⿰日⿱卝隻[T]
㬧	⿳𣅽大糸
㬨	⿰日赫
㬩	⿰日慧
㬪	⿳晶宀彑
㬫	⿱燕日
㬬	⿰日瞿
㬭	⿰日爵
㬮	⿱日難
㬯	⿰日羸
㬰	⿻人日
㬱	⿱兟日
㬲	⿺更益
㬳	⿰月午
㬴	⿰月共
㬵	{㬵}⿰月交[.] ⿰月交[J]
㬶	⿰月吿[J] ⿰月告[.]
㬷	⿰月困
㬸	⿰月花
㬹	⿰⺼爭[H] ⿰月争[.]
㬻	⿰月荒
㬼	⿰有复
㬽	⿰月𠵛
㬾	⿱殹冃
㭀	⿰月筮
㭁	⿰木乃
㭂	⿰木小
㭃	⿰木幺
㭄	⿰木卂
㭅	⿰木三
㭆	⿱乃末
㭇	⿰木允
㭈	⿰木夬
㭉	⿱艹木
㭊	⿰木片
㭋	⿰木丰
㭌	⿰木牛
㭍	⿱⿰冫七木
㭎	⿰木冈
㭏	⿰木韦
㭐	⿱大末
㭑	⿰木未
㭒	⿰木㠯
㭓	⿰木弁
㭔	⿰木乎
㭕	⿰木去
㭖	⿰木代
㭗	⿱木皿
㭘	⿰木合
㭙	⿰木寺
㭚	⿰木⿱𠂉⿸!卬⿺乀丿
㭛	⿰木𠂢
㭜	⿰木戎
㭝	⿱林九
㭞	⿰木劣
㭟	⿱共木
㭠	⿰木先
㭡	⿰木囟
㭢	⿰木刑
㭣	⿰木问
㭤	⿰木鸟
㭥	⿰木负
㭦	⿰木宅
㭧	⿱舟木
㭨	⿰木邪
㭩	⿰木寽
㭪	⿰木甫
㭫	⿰木坐
㭬	⿰木豕
㭭	⿰柺刂
㭮	⿰木𣧄
㭯	⿸⿰木耳乚
㭰	⿱此朿
㭱	⿰木匣
㭲	⿰木⿳儿人口[V] ⿰木谷[.]
㭳	⿰木孝
㭴	⿰木⿱⿲丨丿又土[J] ⿰木坚[V]
㭵	⿰木甸
㭶	⿰木芳
㭷	⿰木男
㭸	⿰木兔
㭹	⿰木弦
㭺	⿰木奄
㭻	⿰木尙[J] ⿰木尚[.]
㭼	⿰木沓
㭽	⿰木底
㭾	⿰木屈
㭿	⿰木昂
㮀	⿰木函
㮁	⿰木肴
㮂	⿱目㚓
㮃	⿰木委
㮄	⿰木㫄
㮅	⿱木隹
㮆	⿰木𦍐
㮈	⿰木奈
㮉	⿰木侠
㮊	⿰杼木
㮋	⿰木郁
㮌	⿰木面
㮍	⿱前木[T] ⿳䒑⿰⿵冂⺀刂木[J]
㮎	⿰木盃
㮏	⿰木柰
㮐	⿰木省
㮑	⿰木臿
㮒	⿰木垔
㮓	⿰木恆
㮔	⿰木重
㮕	⿰木耎
㮖	⿰木革
㮗	⿱矜木
㮘	⿰木敄
㮙	⿰木咢
㮚	⿱𠧪木
㮛	⿰木是
㮜	⿰木匨
㮝	⿰木卻
㮞	⿰木咨
㮟	⿰柘木
㮠	⿰木荣
㮡	⿱炬木
㮢	⿰木侯
㮣	{㮣}⿱既木[.] ⿱既木[T]
㮤	⿱容木
㮥	⿰木畚
㮦	⿰木索
㮧	⿰木烏
㮨	⿰木畟
㮩	⿰木息
㮪	⿰⿻丨⿱一人⿱⿰⿳一丨㇀⿵几丶⿻丨⿱一人
㮫	⿰木害
㮬	⿰木翁
㮭	⿰木圅
㮮	⿰木挈
㮯	⿰木圂
㮰	⿰木𣬉
㮱	⿰木𦭶
㮲	⿰木芻
㮳	⿰木朕
㮴	⿰木叟
㮵	⿰木旃
㮶	⿰木朔
㮷	⿰木⿱尤旨
㮹	⿰木致
㮺	⿱本𠱠
㮻	⿰木蚤
㮼	⿰木扇
㮽	⿰木般
㮾	⿱朗木
㮿	⿰木畢
㯀	⿰木旋
㯁	⿰木陪
㯂	⿰木帶
㯃	⿰木桼
㯄	⿱林巵
㯅	⿰木庳
㯆	⿰木產[T] ⿰木産[.]
㯇	⿰木𡌦
㯉	⿰木虖
㯊	⿰木焉
㯋	⿰⿱匕木頁
㯌	⿰木逐
㯍	⿰木將
㯎	⿲木言木
㯏	⿱殸木
㯐	⿱隋木
㯑	⿰木張
㯒	⿰木覓
㯓	⿰木翕
㯔	⿱毳木
㯕	⿰木斯
㯖	⿰木𢛳
㯗	⿰木閑
㯘	⿰木款
㯙	⿲木育攵
㯚	⿰木答
㯛	⿰木壺
㯜	⿰木萃
㯝	⿰木路
㯞	⿰木絹
㯟	⿱林彔
㯠	⿰木牽
㯡	⿰桼包
㯢	⿰木巽
㯣	⿰木棻
㯤	⿰來來
㯦	⿰木棊
㯧	⿰木超
㯨	⿰木粟
㯪	⿰木零
㯫	⿰木豦
㯬	⿱林建
㯭	⿰木虜
㯮	⿰木蜀
㯯	⿰木⿱夂貢[K] ⿰木⿱夅貝[.]
㯰	⿰木置
㯱	⿳⿻丨𠮛冖⿱缶木
㯲	⿰木禁
㯳	⿰木敬
㯴	⿰木蓉
㯵	⿰木董
㯶	⿰木⿳𠚍儿夊[T] ⿰木𡕰[.]
㯷	⿰木僕
㯸	⿰木盡
㯹	⿰木𡬽
㯺	⿱⿰臣⿳𠂉一罒木[K,T] ⿱⿰臣⿳𠂉丶罒木[.]
㯻	⿳⿻丨𠮛冖⿱豕木
㯼	⿰木蓋
㯾	⿰木遭
㯿	⿰木⿳巛囚⿲𠄌二⿲𠄌二㇂[T] ⿰木巤[.]
㰀	⿰木黎
㰁	⿰木磊
㰂	⿰木審
㰃	⿰木緜
㰄	⿰木賤
㰅	⿰木適
㰆	⿳⿻丨𠮛冖棐
㰇	⿰木韯
㰈	⿱林連
㰉	⿰木臻
㰋	⿰木頻
㰌	⿰木霍
㰍	⿱龍木
㰎	⿰木嶲
㰏	⿰木篙
㰐	⿰木隨
㰑	⿰木橤
㰒	⿰木學
㰓	⿰木⿱⿰臣⿱𠂉一貝
㰔	⿰木燮
㰕	⿰木羲
㰖	⿰木覧
㰗	⿰木蹙
㰙	⿰木難
㰚	⿰木離
㰛	⿰木藥
